"","year","TL","sd","spp"
"389",1907,3.66817042006832,0.100109557414642,"BRNO"
"390",1908,3.66513830333369,0.100874752759673,"BRNO"
"391",1909,3.66230887771154,0.0996823960115734,"BRNO"
"392",1910,3.65964765539448,0.0996086287811848,"BRNO"
"393",1911,3.65812517099828,0.0971314974464419,"BRNO"
"394",1912,3.65485015180306,0.0988181954505203,"BRNO"
"395",1913,3.65275803310872,0.0988458958709599,"BRNO"
"396",1914,3.65025340769291,0.0996501494392596,"BRNO"
"397",1915,3.64896944408836,0.0997720834057931,"BRNO"
"398",1916,3.64831647288742,0.0979746847231553,"BRNO"
"399",1917,3.64720300095726,0.0971648500391913,"BRNO"
"400",1918,3.6438654905126,0.0994905658242264,"BRNO"
"401",1919,3.64223804631312,0.0991771274639319,"BRNO"
"402",1920,3.64087123231687,0.100647686361393,"BRNO"
"403",1921,3.63869905634797,0.104296163141959,"BRNO"
"404",1922,3.63762564598067,0.10522107687152,"BRNO"
"405",1923,3.63666091705277,0.105725009128184,"BRNO"
"406",1924,3.63552214314534,0.10599287594347,"BRNO"
"407",1925,3.63409029711105,0.106602919043281,"BRNO"
"408",1926,3.63480014734033,0.105625194278351,"BRNO"
"409",1927,3.6342606533835,0.106375822488988,"BRNO"
"410",1928,3.63524177187196,0.10544909117866,"BRNO"
"411",1929,3.63640335300233,0.103957124058529,"BRNO"
"412",1930,3.63668005462423,0.102915524281777,"BRNO"
"413",1931,3.63794861297672,0.102773010010503,"BRNO"
"414",1932,3.63680704841822,0.102681822744396,"BRNO"
"415",1933,3.63629774000841,0.104527309073639,"BRNO"
"416",1934,3.63727689623036,0.103603125699355,"BRNO"
"417",1935,3.63753075450616,0.105305383991546,"BRNO"
"418",1936,3.63822236956843,0.104972931557874,"BRNO"
"419",1937,3.64012720277267,0.10367420985582,"BRNO"
"420",1938,3.64199819747109,0.103743487347006,"BRNO"
"421",1939,3.64363519029542,0.103251311088958,"BRNO"
"422",1940,3.64579527058705,0.10228542759507,"BRNO"
"423",1941,3.6484029059892,0.100822594968728,"BRNO"
"424",1942,3.65191445573719,0.0990205459276829,"BRNO"
"425",1943,3.65540454995978,0.0972199924496828,"BRNO"
"426",1944,3.66035584678112,0.0948018945156002,"BRNO"
"427",1945,3.66551645923797,0.094104012030789,"BRNO"
"428",1946,3.67219054386504,0.0916467326246821,"BRNO"
"429",1947,3.67883928534673,0.0904059373511021,"BRNO"
"430",1948,3.68693637210693,0.0867192882180086,"BRNO"
"431",1949,3.69562387275319,0.0846002833196224,"BRNO"
"432",1950,3.7035798959933,0.0837824590379967,"BRNO"
"433",1951,3.71415657007522,0.079430785150306,"BRNO"
"434",1952,3.72333004932228,0.0780831457855715,"BRNO"
"435",1953,3.73309319299549,0.075070795195705,"BRNO"
"436",1954,3.74234832712578,0.0726456685944261,"BRNO"
"437",1955,3.75324315733869,0.0685618934108181,"BRNO"
"438",1956,3.76049745708648,0.0696029728732444,"BRNO"
"439",1957,3.77087120527756,0.0676914034847256,"BRNO"
"440",1958,3.78014672347367,0.066643725802221,"BRNO"
"441",1959,3.78903860604437,0.0661063023365296,"BRNO"
"442",1960,3.79637101629499,0.0672348342888851,"BRNO"
"443",1961,3.80471721946686,0.0665276005600148,"BRNO"
"444",1962,3.81203891587716,0.0666711885295808,"BRNO"
"445",1963,3.81971867231481,0.0661906580899485,"BRNO"
"446",1964,3.82543433006996,0.0657591729105578,"BRNO"
"447",1965,3.8316404637422,0.0663251876108424,"BRNO"
"448",1966,3.83643782808855,0.0673688784077906,"BRNO"
"449",1967,3.84052406072145,0.0690371797497025,"BRNO"
"450",1968,3.84535993271816,0.0676769221109614,"BRNO"
"451",1969,3.8500183594845,0.0665504179904022,"BRNO"
"452",1970,3.85413617261764,0.0666179054362619,"BRNO"
"453",1971,3.85760098201426,0.0657038018048084,"BRNO"
"454",1972,3.86093168730998,0.0648276854726655,"BRNO"
"455",1973,3.86477822000123,0.0631161224726458,"BRNO"
"456",1974,3.86831070597848,0.0612303443640965,"BRNO"
"457",1975,3.87031102160942,0.0598092172656348,"BRNO"
"458",1976,3.87233372833722,0.0582485796206318,"BRNO"
"459",1977,3.87509093637416,0.0569601473524592,"BRNO"
"460",1978,3.87591614437005,0.0569970370537449,"BRNO"
"461",1979,3.87734275159406,0.0567617018670297,"BRNO"
"462",1980,3.87784840337712,0.0560193616272548,"BRNO"
"463",1981,3.87721086826328,0.056024889339306,"BRNO"
"464",1982,3.87694406636591,0.0551939660211138,"BRNO"
"465",1983,3.87586509052971,0.0543193422270822,"BRNO"
"466",1984,3.87405839199838,0.0537492387877747,"BRNO"
"467",1985,3.87208949028886,0.0524519135140835,"BRNO"
"468",1986,3.87029099007417,0.0509040889332697,"BRNO"
"469",1987,3.8672376951831,0.0504069865164709,"BRNO"
"470",1988,3.86421595408974,0.0498328269637298,"BRNO"
"471",1989,3.86089126914103,0.047418887079488,"BRNO"
"472",1990,3.8573923237341,0.0458602476349541,"BRNO"
"473",1991,3.85266613826286,0.0453317840169598,"BRNO"
"474",1992,3.84879729177855,0.0439883204958353,"BRNO"
"475",1993,3.84308461655539,0.0440484518645472,"BRNO"
"476",1994,3.83758006630139,0.0425781853352571,"BRNO"
"477",1995,3.83145383169824,0.0422750574021293,"BRNO"
"478",1996,3.82545231631859,0.040996361235091,"BRNO"
"479",1997,3.81835441874944,0.0410481336629451,"BRNO"
"480",1998,3.81086324753574,0.04097037614337,"BRNO"
"481",1999,3.80412509273463,0.0394052162211622,"BRNO"
"482",2000,3.79624709648659,0.0380331110791587,"BRNO"
"483",2001,3.78798654892815,0.0381419738742839,"BRNO"
"484",2002,3.7796491365038,0.0379781425477868,"BRNO"
"485",2003,3.77025088169058,0.0379570779391667,"BRNO"
"486",2004,3.76152182593577,0.0381720757673172,"BRNO"
"487",2005,3.75123794563442,0.0401395083717482,"BRNO"
"488",2006,3.74173615257529,0.0399451486860527,"BRNO"
"489",2007,3.73249767748013,0.0400235555672515,"BRNO"
"490",2008,3.7210919174493,0.0422026675149074,"BRNO"
"491",2009,3.70974892108697,0.0444456400393247,"BRNO"
"492",2010,3.69780535433134,0.0463216526150263,"BRNO"
"493",2011,3.68460335286305,0.0501915504382118,"BRNO"
"494",2012,3.67198271198012,0.0514062409212581,"BRNO"
"495",2013,3.6591233158711,0.054318130513991,"BRNO"
"496",2014,3.64626783428966,0.0582507918927675,"BRNO"
"497",1891,3.86549776970637,0.117419446676575,"LAAL"
"498",1892,3.8731016472867,0.0991750732400938,"LAAL"
"499",1893,3.88158743694511,0.0831875075348463,"LAAL"
"500",1894,3.88325706215158,0.076518270239204,"LAAL"
"501",1895,3.88421125031005,0.0745695367422714,"LAAL"
"502",1896,3.88934655258334,0.0712075067555942,"LAAL"
"503",1897,3.8937279134888,0.0729588166000128,"LAAL"
"504",1898,3.89818267944803,0.0793428223982842,"LAAL"
"505",1899,3.90519835380889,0.0856836495303375,"LAAL"
"506",1900,3.90969028275039,0.0960492747676769,"LAAL"
"507",1901,3.91177748435769,0.109886179286113,"LAAL"
"508",1902,3.91105564736815,0.124891268983042,"LAAL"
"509",1903,3.90876744538647,0.141961700744746,"LAAL"
"510",1904,3.90796250023139,0.157471073872333,"LAAL"
"511",1905,3.89749270844399,0.182179536916923,"LAAL"
"512",1906,3.88758662118474,0.207204152381244,"LAAL"
"513",1907,3.87886211141023,0.229969977454194,"LAAL"
"514",1908,3.8753735639068,0.246981192816953,"LAAL"
"515",1909,3.87458688366663,0.260553377102766,"LAAL"
"516",1910,3.86942321085675,0.27926848737766,"LAAL"
"517",1911,3.86288606386586,0.29790084195262,"LAAL"
"518",1912,3.86206724212862,0.310307582089163,"LAAL"
"519",1913,3.86201005993232,0.322487841679035,"LAAL"
"520",1914,3.85988239978416,0.335275315573727,"LAAL"
"521",1915,3.8581246722336,0.34836883505923,"LAAL"
"522",1916,3.85644874777501,0.360782191925223,"LAAL"
"523",1917,3.85507812507938,0.372684530783383,"LAAL"
"524",1918,3.85589655489988,0.382335584621761,"LAAL"
"525",1919,3.85530408660022,0.393196796300275,"LAAL"
"526",1920,3.85470661803221,0.403447474881736,"LAAL"
"527",1921,3.85283927266035,0.413954756101417,"LAAL"
"528",1922,3.85053083195429,0.425302750112905,"LAAL"
"529",1923,3.84828420273051,0.436020610318466,"LAAL"
"530",1924,3.84736247240433,0.444258359881534,"LAAL"
"531",1925,3.84688918780342,0.451240836001337,"LAAL"
"532",1926,3.84732010808499,0.456438676728914,"LAAL"
"533",1927,3.84804442903836,0.459956022916211,"LAAL"
"534",1928,3.84896158289516,0.463014138682434,"LAAL"
